Subject|Catalogue|ClassNbr|Name|Description
ACTY|5270|5573|Economic Principles|To enable students to apply the fundamental elements of economic theory to contemporary business issues.|21BN|21BP
ACTY|5270|1448|Economic Principles|To enable students to apply the fundamental elements of economic theory to contemporary business issues.|21BN|21BP
ACTY|5270|5412|Economic Principles|To enable students to apply the fundamental elements of economic theory to contemporary business issues.|21BN|21BP
ACTY|5320|5578|Law of Business Obligations|To provide students with an in depth understanding of legal rules and fundamental legal obligations in the New Zealand business environment.|21BN|21BP
ACTY|5320|1453|Law of Business Obligations|To provide students with an in depth understanding of legal rules and fundamental legal obligations in the New Zealand business environment.|21BN|21BP
ACTY|5320|5418|Law of Business Obligations|To provide students with an in depth understanding of legal rules and fundamental legal obligations in the New Zealand business environment.|21BN|21BP
ACTY|6210|5581|Taxation|To introduce students to the fundamental tax principles and apply them to entities in the New Zealand environment.|21BN|21BP
ACTY|6210|1456|Taxation|To introduce students to the fundamental tax principles and apply them to entities in the New Zealand environment.|21BN|21BP
ACTY|6210|5421|Taxation|To introduce students to the fundamental tax principles and apply them to entities in the New Zealand environment.|21BN|21BP
ACTY|7318|2989|Negotiated Study Finance|To enable students to follow a course of self-directed study in their major discipline that will be in-depth study of an approved topic area.|21BN|21BP
ALAF|    NZ510|6066|Introduction to Commercial Law|Students will demonstrate knowledge and skills in law relevant to business|21BN|21BP
ARCH|9000|7084|Design Research Project - Architecture|The aim of the programme is to produce graduates who have developed a theoretically sophisticated understanding of design through engagement in research by design.  The students are expected to develop this understanding by undertaking a research project which involves creating a new body of work within a theoretical context and then critically appraising the new work and the theoretical framework which informed it.|32CN|32AR
APMG|8099|5923|Business and Organisational Strategy|This course of study provides students with an enhanced capability to analyse the impacts of the global business environment on the development and implementation of strategy by small and medium business enterprises. It aims to develop the capabilities necessary for those small to medium business organisations to successfully compete in the contemporary business environment.|21BN|21BP
LAND|6050|5445|Negotiated Study (Exchange)|To develop specific skills and competencies in landscape architecture through non-local semester exchange.|32CN|32AR
LAND|6050|1940|Negotiated Study (Exchange)|To develop specific skills and competencies in landscape architecture through non-local semester exchange.|32CN|32AR
LAND|6050|5875|Negotiated Study (Exchange)|To develop specific skills and competencies in landscape architecture through non-local semester exchange.|32CN|32AR
ARCH|5011|1430|Architecture & Context|To provide a stimulating introduction to studies in architecture.|32CN|32AR
ARCH|5011|1406|Architecture & Context|To provide a stimulating introduction to studies in architecture.|32CN|32AR
ARCH|6312|5724|Critical Studies 3|To explore the theoretical foundations of the discipline of architecture.|32CN|32AR
ARCH|6312|5803|Critical Studies 3|To explore the theoretical foundations of the discipline of architecture.|32CN|32AR
ARCH|7411|5726|Architectural Technology 4|To develop a sound understanding of large-scale and multi-storey construction, structure and associated services.|32CN|32AR
ARCH|7411|5811|Architectural Technology 4|To develop a sound understanding of large-scale and multi-storey construction, structure and associated services.|32CN|32AR
ARCH|7511|5727|Professional Studies|To develop an appreciation of the legal context within which the New Zealand building industry and architectural practice operate; and to develop skills in the planning and management of architectural projects.|32CN|32AR
ARCH|7511|5812|Professional Studies|To develop an appreciation of the legal context within which the New Zealand building industry and architectural practice operate; and to develop skills in the planning and management of architectural projects.|32CN|32AR
ARCH|6611|1834|Negotiated Study 6611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 6.|32CN|32AR
ARCH|6611|1407|Negotiated Study 6611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 6.|32CN|32AR
ARCH|7611|5728|Negotiated Study 7611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 7.|32CN|32AR
ARCH|7611|9028|Negotiated Study 7611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 7.|32CN|32AR
ARCH|7611|1835|Negotiated Study 7611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 7.|32CN|32AR
ARCH|7611|5802|Negotiated Study 7611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 7.|32CN|32AR
ARCH|7611|1446|Negotiated Study 7611|To explore the student's chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 7.|32CN|32AR
ARCH|7617|5798|Urban Housing_H1|To explore principles of design for medium density urban housing.|32CN|32AR
ARCH|7621|1836|Digital Fabrication|To explore theoretical directions and formal vocabularies of design generated by digital processes, and the practical feasibility of a seamless pathway from digital design to digital fabrication.|32CN|32AR
ARCH|7621|1466|Digital Fabrication|To explore theoretical directions and formal vocabularies of design generated by digital processes, and the practical feasibility of a seamless pathway from digital design to digital fabrication.|32CN|32AR
ARCH|8311|5698|Architectural Theory|To develop capability in the analysis and critical evaluation of the ideas of architecture and urban design as represented in texts, drawings and buildings.|32CN|32AR
ARCH|8311|5691|Architectural Theory|To develop capability in the analysis and critical evaluation of the ideas of architecture and urban design as represented in texts, drawings and buildings.|32CN|32AR
ARCH|8411|1689|Architectural Technology|To explore, in depth, the construction, structure and associated services requirements of unconventional, extreme, or innovative architectural projects.|32CN|32AR
ARCH|8411|1369|Architectural Technology|To explore, in depth, the construction, structure and associated services requirements of unconventional, extreme, or innovative architectural projects.|32CN|32AR
ARCH|8511|1715|Professional Business Management|To critically examine the strategic management of architectural businesses, and their business management models.|32CN|32AR
ARCH|8511|1372|Professional Business Management|To critically examine the strategic management of architectural businesses, and their business management models.|32CN|32AR
ARCH|8611|5700|Negotiated Study|To explore the student?s chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 8.|32CN|32AR
ARCH|8611|1730|Negotiated Study|To explore the student?s chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 8.|32CN|32AR
ARCH|8611|5682|Negotiated Study|To explore the student?s chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 8.|32CN|32AR
ARCH|8611|1377|Negotiated Study|To explore the student?s chosen topic in the discipline or practice of architecture, in a supervised 15-credit study at Level 8.|32CN|32AR
ARCH|8614|5701|Housing in Cities_H2|To explore, in depth, principles of design for higher-density urban housing.|32CN|32AR
ARCH|8614|5692|Housing in Cities_H2|To explore, in depth, principles of design for higher-density urban housing.|32CN|32AR
ARCH|8618|5702|Digital Fabrication|To explore, in depth, theoretical directions and formal vocabularies of design generated by digital processes, and the practical feasibility of a seamless pathway from digital design to digital fabrication.|32CN|32AR
ARCH|8618|5695|Digital Fabrication|To explore, in depth, theoretical directions and formal vocabularies of design generated by digital processes, and the practical feasibility of a seamless pathway from digital design to digital fabrication.|32CN|32AR
ARCH|8619|5705|Design Economics|To explore, in depth, the ways in which architects design within given economic environments to optimise value.|32CN|32AR
ARCH|8619|5696|Design Economics|To explore, in depth, the ways in which architects design within given economic environments to optimise value.|32CN|32AR
ARCH|6618|5730|Design Process|To develop a sound understanding of architectural design process theory in the context of the general problem-solving theory of human intelligence and creativity, and apply that understanding to a small design and build assignment.|32CN|32AR
ARCH|6618|5805|Design Process|To develop a sound understanding of architectural design process theory in the context of the general problem-solving theory of human intelligence and creativity, and apply that understanding to a small design and build assignment.|32CN|32AR
ARCH|8011|1687|Research Methods|To develop the capability for devising and conducting an independent architectural research project.|32CN|32AR
ARCH|8011|1354|Research Methods|To develop the capability for devising and conducting an independent architectural research project.|32CN|32AR
ARCH|7624|5733|Special Topic 3|To explore a special topic in the discipline or practice of architecture.|32CN|32AR
ARCH|7624|6587|Special Topic 3|To explore a special topic in the discipline or practice of architecture.|32CN|32AR
